movieid,movie_trailer_filename,folderlocation,filepath,size_mb
1018,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\1018,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\1018\YouTube.mp4,2.9459962844848633
10183,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10183,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10183\YouTube.mp4,6.425024032592773
10184,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10184,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10184\YouTube.mp4,5.245467185974121
10187,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10187,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10187\YouTube.mp4,6.189152717590332
10191,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10191,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10191\YouTube.mp4,7.156959533691406
10193,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10193,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10193\YouTube.mp4,11.246131896972656
10195,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10195,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10195\YouTube.mp4,10.227363586425781
10197,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10197,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10197\YouTube.mp4,8.968230247497559
10201,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10201,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10201\YouTube.mp4,6.15413761138916
10215,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10215,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10215\YouTube.mp4,6.329479217529297
10218,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10218,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10218\YouTube.mp4,5.6015214920043945
10219,Snow Falling on Cedars Official Trailer 1 - Ethan Hawke Movie (1999) HD.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10219,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10219\Snow Falling on Cedars Official Trailer 1 - Ethan Hawke Movie (1999) HD.mp4,9.538986206054688
10220,Rounders - Trailer.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10220,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10220\Rounders - Trailer.mp4,6.49452018737793
102362,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\102362,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\102362\YouTube.mp4,10.098383903503418
102382,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\102382,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\102382\YouTube.mp4,13.343174934387207
1024,Heavenly Creatures - Trailer.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\1024,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\1024\Heavenly Creatures - Trailer.mp4,6.506961822509766
102651,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\102651,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\102651\YouTube.mp4,7.97573184967041
10269,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10269,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10269\YouTube.mp4,4.1840057373046875
10280,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10280,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10280\YouTube.mp4,5.196043014526367
10281,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10281,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10281\YouTube.mp4,5.055559158325195
10283,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10283,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10283\YouTube.mp4,3.2860488891601562
10285,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10285,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10285\YouTube.mp4,4.224452972412109
10288,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10288,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10288\YouTube.mp4,5.029448509216309
103,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\103,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\103\YouTube.mp4,10.39179801940918
10306,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10306,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10306\YouTube.mp4,3.7028980255126953
10307,YouTube.mp4,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10307,C:\LX_DOCS\LX_Learning\Kaggle\Movie_Content_Prediction\dataset\Movie_trailers\10307\YouTube.mp4,12.795088768005371
